,Coefficient,P-Value,Std.Error
const,2.483153671176901,1.3275872677144054e-173,0.08583290542382409
SeatBeltUse,-0.27299040553668935,3.819383461290161e-77,0.014496418083465681
BicyleHelmetUse,-0.024794235066983476,0.05621221877030917,0.012983213481542067
WhatIsYourSex,0.10253670094004279,0.0004948893247418344,0.029420606687087875
InWhatGradeAreYou,0.1715116337018386,2.2185395232259773e-37,0.013342556848382757
