Seatbelt_Group,count,mean,std
中風險組 (有時繫),919,2.1588683351468987,1.378644002049985
低風險組 (總是/經常繫),5271,1.765509391007399,1.145254179694289
高風險組 (很少/從不繫),576,2.548611111111111,1.6240790775825995
